model,EM,TokP,TokR,TokF1,Contain,CharSim,CosSim,KL,Perp,BERTScore_P,BERTScore_R,BERTScore_F1,Reliability,Miscalibration,KL_Divergence
Qwen2.5-7B-Instruct-RLVR_aligned,0.7601,0.8211,0.8200,0.8188,0.7736,0.8691,0.8653,0.0000,5.8725,0.8150,0.8167,0.8155,0.0000,0.1888,
Qwen3-VL-8B-Instruct-RLVR_aligned,0.6432,0.7001,0.6887,0.6919,0.6477,0.7796,0.7782,0.0000,1.4491,0.6999,0.6899,0.6943,0.0000,0.0588,
Qwen2.5-7B-Instruct-RLAIF_aligned,0.0000,0.1354,0.4063,0.2031,0.4063,0.3570,0.3857,0.0000,3.9852,0.1702,0.1475,0.1548,0.0000,0.0039,
Qwen2.5-7B-Instruct-RLAIF_tanh-tanh_aligned,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,0.1520,0.0000,1.1146,0.1913,-0.0728,0.0539,0.0000,0.0011,
Qwen2.5-7B-Instruct-RLAIF_pref3_aligned,0.6387,0.7434,0.8002,0.7559,0.7571,0.8099,0.8249,0.0000,5309135452186.5811,0.7094,0.7586,0.7325,0.0000,0.1066,
Qwen2.5-7B-Instruct-RLAIF_custom_GRPO_aligned,0.6387,0.7409,0.8014,0.7539,0.7601,0.8097,0.8233,0.0000,23216898039235.7539,0.7168,0.7664,0.7401,0.0000,0.1113,
Qwen2.5-7B-Instruct-RLAIF_FrugalGRPO_noscore_aligned,0.6342,0.7385,0.7998,0.7520,0.7601,0.8077,0.8219,0.0000,15815491908132.0527,0.7039,0.7581,0.7295,0.0000,0.1108,
Qwen2.5-7B-Instruct-RLAIF_FrugalGRPO_aligned,0.6477,0.7473,0.7971,0.7582,0.7556,0.8162,0.8266,0.0000,12366520733237.8301,0.7295,0.7704,0.7486,0.0000,0.1092,
Qwen2.5-7B-Instruct-RLAIF_GroupedGRPO_aligned,0.6327,0.7385,0.7995,0.7515,0.7571,0.8070,0.8210,0.0000,20546792982941.3320,0.7145,0.7661,0.7387,0.0000,0.1111,
Qwen2.5-7B-Instruct-RLAIF_MORL_aligned,0.5877,0.7213,0.8014,0.7405,0.7526,0.8005,0.8219,0.0000,7407020704923.4053,0.6933,0.7558,0.7231,0.0000,0.0999,
Qwen2.5-7B-Instruct-RLAIF_RLFF_aligned,0.6537,0.7521,0.8103,0.7650,0.7586,0.8262,0.8428,0.0000,4959334884007.2891,0.7407,0.7845,0.7615,0.0000,0.0992,
Qwen3-VL-8B-Instruct-RLAIF-VL,0.6372,0.6957,0.6846,0.6874,0.6447,0.7766,0.7730,0.0000,1.4536,0.6929,0.6865,0.6889,0.0000,0.0583,
Qwen3-VL-8B-Instruct-morlVL,0.6447,0.7050,0.6920,0.6960,0.6507,0.7821,0.7800,0.0000,1.3832,0.7063,0.6922,0.6985,0.0000,0.0532,
Qwen3-VL-8B-Instruct-frugalVL,0.6402,0.6955,0.6878,0.6898,0.6477,0.7780,0.7749,0.0000,1.4108,0.6986,0.6861,0.6917,0.0000,0.0562,
